AIK,AIKEN
AJX,AJAX DOWNS
ALB,ALBUQUERQUE
AQU,AQUEDUCT
ARP,ARAPAHOE
AP,ARLINGTON
ASD,ASSINIBOIA
ATH,ATLANTA
BEL,BELMONT PARK
BTP,BELTERRA PARK
BKF,BLACK FOOT
CAM,CAMDEN
CBY,CANTERBURY PARK
CAS,CASSIA FAIR
CTD,CENTURY DOWNS
CTM,CENTURY MILE
CT,HOLLYWOOD CASINO AT CHARLES TOWN RACES
CHA,CHARLESTON
CHL,CHARLOTTE
CHE,CHESHIRE
CPW,CHIPPEWA DOWNS
CD,CHURCHILL DOWNS
DG,COCHISE FAIR
CNL,COLONIAL DOWNS
PRV,CROOKED RIVER
DMR,DEL MAR
DEL,DELAWARE PARK
DED,DELTA DOWNS
ELK,ELKO FAIR
ELP,ELLIS PARK
EMD,EMERALD DOWNS
EVD,EVANGELINE
FG,FAIR GROUNDS
FAI,FAIR HILL
FMT,FAIR MEADOWS
FP,FAIRMOUNT PARK
FH,FAR HILLS
FL,FINGER LAKES
FON,FONNER PARK
FE,FORT ERIE
FTP,FORT PIERRE
FX,FOXFIELD
GV,GENESEE VALLEY
GIL,GILLESPIE FAIRGROUND
MID,GLENWOOD PARK AT MIDDLEBURG
GLN,GLYNDON
GG,GOLDEN GATE
GN,GRAND NATIONAL
GPR,GRANDE PRAIRIE
GRP,GRANTS PASS
GRM,GREAT MEADOW
GP,GULFSTREAM PARK
BRN,HARNEY COUNTY FAIR
HST,HASTINGS
HAW,HAWTHORNE
IND,INDIANA GRAND RACE COURSE
JRM,JEROME FAIR
KEE,KEENELAND
KD,KENTUCKY DOWNS
LBT,LAUREL BROWN
LRL,LAUREL PARK
LBG,LETHBRIDGE  RMTC
LEX,LEXINGTON
LS,LONE STAR
LA,LOS ALAMITOS
LRC,LOS ALAMITOS THOROUGHBRED
LAD,LOUISIANA DOWNS
MVR,MAHONING VALLEY RACE COURSE
MAL,MALVERN
MD,MARQUIS DOWNS
MED,MEADOWLANDS
MC,MILES CITY
RUP,MINIDOKA FAIR
MON,MONKTON
MTH,MONMOUTH PARK
MTP,MONTPELIER
MNR,MOUNTAINEER
FAR,NORTH DAKOTA
OP,OAKLAWN PARK
ONE,ONEIDA FAIR
UN,OREGON LIVESTOCK
PRX,PARX RACING
PEN,PENN NATIONAL
UNI,PENNSYLVANIA HUNT CUP
PW,PERCY WARNER
PIM,PIMLICO
PMT,PINE MTN
PLN,PLEASANTON
POD,POCATELLO DOWNS
PRM,PRAIRIE MEADOWS
PID,PRESQUE ISLE DOWNS
RP,REMINGTON PARK
RET,RETAMA PARK
RIL,RILLITO
RUI,RUIDOSO DOWNS
HOU,SAM HOUSTON
SDY,SANDY DOWNS
SA,SANTA ANITA PARK
SON,SANTA CRUZ
SAR,SARATOGA
SHW,SHAWAN DOWNS
SUD,SUN DOWNS
SUN,SUNLAND PARK
SWF,SWEETWATER DOWNS
TAM,TAMPA BAY
TDN,THISTLEDOWN
TIL,TILLAMOOK FAIR
TIM,TIMONIUM
TRY,TRYON
TUP,TURF PARADISE
TP,TURFWAY PARK
WBR,WEBER DOWNS
ELY,WHITE PINE RACING
WRD,WILL ROGERS
WIL,WILLOWDALE STP
WNT,WINTERTHUR
WO,WOODBINE
WYO,WYOMING DOWNS
ZIA,ZIA PARK
CMR,CAMARERO RACE TRACK
NP,NORTHLANDS PARK
PM,PORTLAND MEADOWS
GG,GOLDEN GATE FIELDS
MNR,MOUNTAINEER CASINO RACETRACK  RESORT
HST,HASTINGS RACECOURSE
TAM,TAMPA BAY DOWNS
EVD,EVANGELINE DOWNS
GPW,GULFSTREAM PARK WEST
HOU,SAM HOUSTON RACE PARK
SAC,SACRAMENTO
LS,LONE STAR PARK
WRD,WILL ROGERS DOWNS
HPO,HORSEMENS PARK
FNO,FRESNO
HP,HAZEL PARK
CLS,COLUMBUS
SON,SANTA CRUZ COUNTY FAIR  SONOITA
FER,FERNDALE
UN,EASTERN OREGON LIVESTOCK SHOW
LRC,LOS ALAMITOS RACE COURSE
PRV,CROOKED RIVER ROUNDUP
ARP,ARAPAHOE PARK
TIL,TILLAMOOK COUNTY FAIR
OTP,OAK TREE AT PLEASANTON
LNN,LINCOLN RACE COURSE
ASD,ASSINIBOIA DOWNS
SRP,SUNRAY PARK
PMT,PINE MTNCALLAWAY GARDEN
UN,EASTERN OREGON LIVESTOCK SHO W
EDR,ENERGY DOWNS
